committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,committee_name,entity_type,entity_type_desc,unused_contbr_id,contributor_prefix,contributor_name,recipient_committee_type,recipient_committee_org_type,recipient_committee_designation,contributor_first_name,contributor_middle_name,contributor_last_name,contributor_suffix,contributor_street_1,contributor_street_2,contributor_city,contributor_state,contributor_zip,contributor_employer,contributor_occupation,contributor_id,receipt_type,receipt_type_desc,receipt_type_full,memo_code,memo_code_full,contribution_receipt_date,contribution_receipt_amount,contributor_aggregate_ytd,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_office_full,candidate_office_state,candidate_office_state_full,candidate_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,donor_committee_name,national_committee_nonfederal_account,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_name,filing_form,link_id,is_individual,memo_text,two_year_transaction_period,schedule_type,increased_limit,sub_id,pdf_url,line_number_label
C00494229,HELLER FOR SENATE,2019,Q3,202112319474821991,14,AF4C2FCC626A54B0AB4D,1553729,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,S,,P,,,,,1919 SOUTH EADS STREET,,ARLINGTON,VA,22202,,,C00375048,,,REISSUED UNCLEARED CHECK - SEE SCHED B,,,2019-08-20 00:00:00,500.00,500.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P2018,,PRIMARY,2018,N,NO CHANGE,ITEMIZED RECEIPTS,2022-01-04 03:33:21,,,,F3,4010120221387380017,f,,2020,SA,,4010420221387461219,https://docquery.fec.gov/cgi-bin/fecimg/?202112319474821991,Offsets to Operating Expenditures
C00438713,FRIENDS OF MARK WARNER,2019,Q2,201907139150590590,11C,C7465666,1338945,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,S,,P,,,,,1919 S EADS ST,,ARLINGTON,VA,222023028,,,C00375048,,,,,,2019-05-03 00:00:00,1000.00,2000.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P2020,,PRIMARY,2020,A,ADD,ITEMIZED RECEIPTS,2019-07-15 03:58:09.784,,,,F3,4071420191659531196,f,,2020,SA,,4071420191659534263,http://docquery.fec.gov/cgi-bin/fecimg/?201907139150590590,Contributions From Other Political Committees
C00503052,JEFFRIES FOR CONGRESS,2019,Q2,201907149150596398,11C,2147866,1339106,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,H,,P,,,,,1919 S EADS ST 1919 SOUTH EADS ST,,ARLINGTON,VA,22202,,,C00375048,,,,,,2019-06-28 00:00:00,2500.00,2500.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P2020,,PRIMARY,2020,A,ADD,ITEMIZED RECEIPTS,2019-07-16 05:34:04.727,,,,F3,4071420191659531290,f,,2020,SA,,4071520191659559352,http://docquery.fec.gov/cgi-bin/fecimg/?201907149150596398,Contributions From Other Political Committees
C00311043,BRADY FOR CONGRESS,2019,Q2,201907149150599369,11C,SA6894,1339163,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,H,,P,,,,,1919 S EADS ST,,ARLINGTON,VA,22202,,,C00375048,,,,,,2019-06-11 00:00:00,1000.00,1000.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P2020,,PRIMARY,2020,A,ADD,ITEMIZED RECEIPTS,2019-07-16 05:34:46.821,,,,F3,4071520191659540492,f,,2020,SA,,4071520191659570584,http://docquery.fec.gov/cgi-bin/fecimg/?201907149150599369,Contributions From Other Political Committees
C00568162,SCALISE LEADERSHIP FUND,2019,Q2,201907159150831575,11C,SA11C.262268,1340116,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,N,,J,,,,,1919 SOUTH EADS STREET,,ARLINGTON,VA,222023028,,,C00375048,18K,CONTRIBUTION RECEIVED FROM REGISTERED FILER,CONTRIBUTION,,,2019-06-07 00:00:00,1500.00,1500.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P,,PRIMARY,,A,ADD,ITEMIZED RECEIPTS,2019-07-17 04:31:05.683,,,,F3X,4071520191659542077,f,,2020,SA,,4071620191659701046,http://docquery.fec.gov/cgi-bin/fecimg/?201907159150831575,Contributions From Other Political Committees
C00394957,SCALISE FOR CONGRESS,2019,Q2,201907159150836886,12,SA.262268.10.43,1340131,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,H,,P,,,,,1919 SOUTH EADS STREET,,ARLINGTON,VA,222023028,,,C00375048,18J,MEMO (FILER'S % OF CONTRIBUTION GIVEN TO JOIN,TRANSFER,X,,2019-06-07 00:00:00,1500.00,1500.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P2020,,PRIMARY,2020,A,ADD,ITEMIZED RECEIPTS,2019-07-18 04:14:19.356,,SA12.277502,SA12,F3,4071520191659541010,f,TRANSFER FROM SLF - JOINT FUNDRAISING COMMITTEE,2020,SA,,4071720191659804887,http://docquery.fec.gov/cgi-bin/fecimg/?201907159150836886,Transfers from authorized committees
C00330720,TRUST PAC TEAM REPUBLICANS FOR UTILIZING SENSIBLE TACTICS,2019,MY,201907159150709546,11C,SA11C.10424,1339618,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,Q,,D,,,,,1919 SOUTH EADS STREET,,ARLINGTON,VA,22202,,,C00375048,18K,CONTRIBUTION RECEIVED FROM REGISTERED FILER,,,,2019-06-19 00:00:00,5000.00,5000.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P,,PRIMARY,,A,ADD,ITEMIZED RECEIPTS,2019-07-18 04:26:18.06,,,,F3X,4071520191659541894,f,,2020,SA,,4071720191660016477,http://docquery.fec.gov/cgi-bin/fecimg/?201907159150709546,Contributions From Other Political Committees
C00458125,JUDY CHU FOR CONGRESS,2019,Q1,201904159146151760,11C,11C-17199,1325313,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,H,"",P,,,,,1919 S EADS ST,,ARLINGTON,VA,22202,,,C00375048,,,,,,2019-03-28 00:00:00,1000.00,1000.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P2020,,PRIMARY,2020,A,ADD,ITEMIZED RECEIPTS,2019-04-16 04:09:16.351,,,,F3,4041520191646335377,f,,2020,SA,,4041520191646411781,http://docquery.fec.gov/cgi-bin/fecimg/?201904159146151760,Contributions From Other Political Committees
C00691170,TEAM MITT,2019,Q2,201907159150855393,11C,SA11C.5341,1340284,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,N,,J,,,,,1919 SOUTH EADS STREET,,ARLINGTON,VA,22202,,,C00375048,18K,CONTRIBUTION RECEIVED FROM REGISTERED FILER,,,,2019-05-07 00:00:00,1000.00,1000.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P,,PRIMARY,,A,ADD,ITEMIZED RECEIPTS,2019-07-19 03:51:21.094,,,,F3X,4071520191659542144,f,,2020,SA,,4071820191660190870,http://docquery.fec.gov/cgi-bin/fecimg/?201907159150855393,Contributions From Other Political Committees
C00409730,NEW DEMOCRAT COALITION ACTION FUND,2019,MY,201908139162858156,11C,C11405718,1347617,,PAC,POLITICAL ACTION COMMITTEE,C00328369,,TECHNOLOGY NETWORK (TECHNET) FEDERAL PAC,Q,,U,,,,,"700 13TH STREET, NW",SUITE 600,WASHINGTON,DC,20005,,,C00328369,18K,CONTRIBUTION RECEIVED FROM REGISTERED FILER,,,,2019-05-31 00:00:00,5000.00,5000.00,,,,,,,,,,,,,,,,,,,,TECHNOLOGY NETWORK (TECHNET) FEDERAL PAC,,P,,PRIMARY,,N,NO CHANGE,ITEMIZED RECEIPTS,2019-08-15 03:51:38.613,,,,F3X,4081320191663283815,f,,2020,SA,,4081420191663324303,http://docquery.fec.gov/cgi-bin/fecimg/?201908139162858156,Contributions From Other Political Committees
